nome_aluno;titulo;ano;curso;instituicao;tipo_trabalho;orientador;url_origem;revisado;cadastrado
Dalton Solano dos Reis;Uma interface gráfica para o sistema cruzamento;1992;Ciência da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Manuel Menezes de Oliveira Neto;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=89594;false;false
Dalton Solano dos Reis;GG3D, ambiente para geracao de graficos 3D;1995;;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Anatolio Laschuk;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=82646;false;false
Dalton Solano dos Reis;Análise da geração de grades irregulares triangularizadas em modelos numéricos de terreno;1997;;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Anatolio Laschuk;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=158464;false;false
Dorow, Anatoli,1975-2007.;Desenvolvimento de um sistema de análise meteorológica - SAM;1997;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=170762;false;false
Amarildo Ribeiro;Sistema de análise meteorológica :dinâmico - SAMD;1998;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=178369;false;true
Ann Margareth Shu;Protótipo de um ambiente de visualização e animação gráfico;1998;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=178341;false;false
Charles Rogerio Vasconcelos;Uma universidade virtual :FURB;1998;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=178340;false;true
Danilo Kramel;Desenvolvimento do Sistema de Cotas-Enchente de Blumenau (SCEB);1998;;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=187012;false;false
Flavio Henrique Boehme;Aplicação para geração dinâmica de informações do sistema de alerta da Bacia do Rio Itajaí;1998;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=178609;false;true
Guido Blank;Especificação e implementação de um protótipo de filtro gráfico utilizando técnicas de antialiasing;1998;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=178350;false;false
Jean Davis Corbellini;Protótipo de software de aquisição de imagens através de visualização científica;1998;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=178356;false;false
Rui Fernando Wolff Junior;Especificação de um TAG HTML para arquivos gráficos METAFILE;1998;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=178370;false;false
Charles Amderson Prada;Protótipo de um gerenciador de informações dos sistemas elevatórios de água tratada;1999;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=186985;false;false
Flavio Andre;Protótipo de um sistema para visualização 3D usando imagens Raster 2D com conceitos de um ambiente de visualização científica;1999;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=186998;false;false
Jeverson Zoz;Estudo de metodos e algoritmos de Splines Bezier, Casteljau e B-Spline;1999;;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=178379;false;false
José Carlos dos Santos;Prototipo de uma ferramenta baseada em sistemas de Lindenmayer para modelagem de estruturas fractais;1999;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=187005;false;true
Luciane Schwalbe;Protótipo de um software educacional para ensino de meteorologia;1999;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=179214;false;false
Sandro Alencar Fernandes;Protótipo de um software de mapeamento automático (AM) - gerência de facilidades (FM) para o atendimento de ocorrências da cidade de Rio do Sul;1999;;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=186997;false;true
Adriana dos Santos;Protótipo de software para geração de animações por quadros-chaves utilizando a técnica de interpolação;2000;Ciências da Computação;Universidade Regional de Blumenau;Trabalho de conclusão de curso de graduação;Dalton Solano dos Reis;https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=rapida&CdMFN=217243;false;true
